Name,lei
BNPP AM OPTIMEUROBLIG ,969500DGCIFGZWZVJZ82
BNPP CP CARDIF ALTERNATIVE ,969500HYOF743B116P52
BNPP FIO subfundusz BNPP STABILNEGO WZROSTU ,259400O4LRAEHF90NB81
